Unnamed: 0,0,1,2,3,4
0,James Purefoy,1964,"['Roma', '2005–2007 • 22 episodios', 'Hap Collins', 'Serie de TV', '7,0']","['Reparto', 'Producción']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Temecula Valley International Film Festival Gan', 'TV Guide Awards Nom', 'Contribuir a esta página ir ']"
1,David Arquette,1971,"['Scream 3', 'Nunca me han besado', 'Scream 2', 'Arac Attack']","['Producción', 'Reparto', 'Dirección']","['Blockbuster Entertainment Awards Gan', 'Breckenridge Festival of Film Gan', 'Sitges - Catalonian International Film Festival Nom', 'Daytime Emmy Awards Nom', 'Ft. Lauderdale International Film Festival Gan']"
2,Amy Smart,1976,"['Starship Troopers (Las brigadas del espacio)', 'Ratas a la carrera', 'Crank: Veneno en la sangre', 'Sólo amigos']","['Reparto', 'Banda sonora']","['MTV Movie + TV Awards Gan', 'Teen Choice Awards Nom', 'DVD Exclusive Awards Nom', 'FilmQuest Nom']"
3,Frances Fisher,1952,"['Titanic', 'Sin perdón', 'Amor de calendario', 'Su mejor amiga']","['Reparto', 'Cámara y electricidad']","['Screen Actors Guild Awards Nom', 'Chlotrudis Awards Nom', 'Maverick Movie Awards Nom', 'Canadian Screen Awards CA Nom', 'Online Film & Television Association Nom']"
4,Mariel Hemingway,1961,"['Manhattan', 'Superman IV: En busca de la paz', 'Creator', 'Sex monster']","['Reparto', 'Producción', 'Equipo ejecutivo']","['Academy Awards USA Nom', 'BAFTA Awards Nom', 'Critics Choice Awards Gan', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom']"
5,Irene Bedard,1967,"['Pocahontas', 'Ralph rompe Internet', 'Into the West', '2005 • 4 episodios', 'Mary Crow Dog']","['Reparto', 'Producción']","['Golden Globes USA Nom', 'NAMIC Vision Awards Gan', 'Western Heritage Awards Gan', 'American Indian Film Festival Nom', 'American Indian LA Film and TV Awards Gan']"
6,Gérard Depardieu,1948,"['Cyrano de Bergerac', 'El hombre de la máscara de hierro', '1492: La conquista del paraíso', 'Matrimonio de conveniencia']","['Reparto', 'Producción', 'Dirección']","['Academy Awards USA Nom', 'BAFTA Awards Nom', 'Cannes Film Festival Nom', 'César Awards France Nom', 'Dallas-Fort Worth Film Critics Association Awards Nom']"
7,Aurore Clément,1945,"['Apocalypse Now', 'María Antonieta (Marie Antoinette)', 'Paris, Texas', 'Cegados por el sol']","['Reparto', 'Banda sonora']","['Grimme Award Gan', 'Contribuir a esta página ir ']"
8,Diego Calva,1992,"['Babylon', 'Te prometo anarquía', 'Bird Box: Barcelona', 'Tradimento']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Cámara y electricidad']","['Golden Globes USA Nom', 'Satellite Awards Nom', 'Havana Film Festival Gan', 'Screen Actors Guild Awards Nom', 'CinEuphoria Awards Nom']"
9,Phoebe Tonkin,1989,"['Chico come universo', '2024 • 7 episodios', '2022', 'Olivia Gallagher', 'Serie de TV']","['Reparto', 'Dirección', 'Guion']","['Australian Film Institute Nom', 'Northeast Film Festival US Nom', 'Hang Onto Your Shorts Film Festival NJ Nom', 'The Equity Ensemble Awards Nom']"
